mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,sn,id,mz.cont,source
146.0455312,146.0455017,146.0455627,1290.44,1275.3,1307.26,40160352716,40158549546,2755929856,25072,1,-146.0455312,psn
128.0350808,128.0350647,128.0350952,1290.44,1275.3,1307.26,5087560766,5085339777,352001536,8221,2,-128.0350808,psn
102.0558554,102.0558395,102.0558701,1290.44,1275.3,1307.26,4403967592,4402444476,311817472,7226,3,-102.0558554,psn
147.0487637,147.0487366,147.0487976,1290.44,1275.3,1307.26,2331910908,2331403605,164391280,6270,4,-147.0487637,psn
662.1019754,662.1018066,662.1022949,1300.5,1286.54,1314.06,972621876.8,972497970,136589984,12084,5,-662.1019754,psn
231.0983635,231.0983276,231.098465,1291,1276.43,1305,1123081171,1122893150,114501544,10999,6,-231.0983635,psn
132.0299574,132.0299377,132.0299988,1292.68,1277,1308.39,814524212.1,813787794.8,58812040,2304,7,-132.0299574,psn
331.0548532,331.0548096,331.0549316,1289.89,1278.13,1306.13,579863407.7,579863379.7,44957360,44957359,8,-331.0548532,psn
809.1547567,809.1542969,809.1550903,1297.7,1284.86,1308.96,254902483.8,254902460.3,35751240,35751239,9,-809.1547567,psn
663.1052418,663.1049805,663.1061401,1300.5,1287.65,1314.06,228531677.4,228523456.8,32867860,13156,10,-663.1052418,psn
540.0537025,540.0534668,540.0540161,1300.5,1300.5,1314.06,111590404.4,111578942.3,31911818,7257,11,-540.0537025,psn
348.08693,348.086853,348.0869751,1289.33,1274.17,1308.96,393581496.8,393516486.8,30048056,4785,12,-348.08693,psn
293.0990576,293.0990295,293.0991211,1289.89,1275.87,1305,292050453.3,291168190.6,29273104,1299,13,-293.0990576,psn
315.0810139,315.0809631,315.0810852,1289.89,1277,1306.13,354174328.6,354170283.3,28147298,17388,14,-315.0810139,psn
148.0496406,148.0496063,148.0496674,1290.44,1275.3,1307.26,336173566,336128827.7,24049586,4682,15,-148.0496406,psn
129.0384528,129.0384369,129.0384827,1290.44,1274.74,1307.83,277438912.9,276920469.5,20168718,1532,16,-129.0384528,psn
103.0592327,103.0592117,103.0592499,1290.44,1275.3,1307.26,214038264.7,213971837.8,15625474,2493,17,-103.0592327,psn
147.0426616,147.0426178,147.0427094,1288.77,1275.3,1305.56,130171824,130152013.4,12138567,3231,18,-147.0426616,psn
283.0683604,283.0682373,283.068573,1284.3,1267.38,1298.82,115880112.9,115722064.8,11558971,719,19,-283.0683604,psn
232.1017663,232.1017151,232.1018372,1291,1276.43,1305,110572132.4,110489510.4,11044240,685,20,-232.1017663,psn
245.1141601,245.1136475,245.1142578,1279.26,1265.11,1287.65,77246727.26,77104079.5,10539088,786,21,-245.1141601,psn
810.1582346,810.1576538,810.1589966,1297.7,1287.65,1308.96,73065485.27,73065465.08,9959694,9959693,22,-810.1582346,psn
664.1075208,664.1072388,664.1082764,1300.5,1289.89,1314.06,46352348.26,46298601.46,6937655.5,527,23,-664.1075208,psn
541.0574397,541.0569458,541.0579224,1299.94,1288.21,1312.36,37138014.76,37134042.8,5288482,3083,24,-541.0574397,psn
662.6034005,662.6022339,662.6043091,1301.06,1292.68,1308.39,23473760.22,23473746.75,5039851.5,5039850,25,-662.6034005,psn
332.0581954,332.058136,332.0583191,1289.89,1278.13,1306.13,64240117.96,64240089.96,4757833,4757832,26,-332.0581954,psn
306.0765552,306.0762634,306.0767517,1289.33,1264.55,1365.49,107034644.9,104530816.9,4592573.5,49,27,-306.0765552,psn
758.0895356,758.0890503,758.0908813,1301.06,1292.12,1314.62,30680755.1,30677766.4,4585382.5,2993,28,-758.0895356,psn
88.0402895,88.04026794,88.04031372,1292.68,1277,1308.39,67813387.08,66505720.59,4487963,128,29,-88.0402895,psn
168.0275992,168.0274658,168.0279541,1295.47,1238.52,1379.03,80935872.64,80649900.65,3955738,545,30,-168.0275992,psn
357.0874484,357.0871887,357.087677,1281.51,1269.64,1287.65,23109538.56,23109171.11,3907644,8121,31,-357.0874484,psn
129.0191437,129.0191193,129.019165,1290.44,1275.3,1307.83,51772327.38,51407978.85,3892936.5,290,32,-129.0191437,psn
333.053052,333.052948,333.0532837,1289.89,1278.7,1306.13,39559808.16,39559193.35,3772247.5,7366,33,-333.053052,psn
294.1024259,294.1022949,294.1025391,1289.89,1275.87,1305,33189596.28,31484883.29,3454026,67,34,-294.1024259,psn
320.011048,320.0107727,320.0112,1303.87,1294.35,1316.88,26602196.08,26573912.17,3302731,521,35,-320.011048,psn
847.1103785,847.1092529,847.1113281,1298.82,1289.33,1307.83,25277400.1,25277382.16,3277034.5,3277034,36,-847.1103785,psn
184.0014991,184.0014496,184.0015717,1285.42,1275.3,1293.79,31641637.18,31589877.81,3091660,378,37,-184.0014991,psn
349.0902814,349.0901794,349.0904236,1289.89,1289.89,1308.39,25283580.94,25281393.3,3036758,3104,38,-349.0902814,psn
316.0840818,316.0839844,316.0842285,1289.89,1278.7,1306.13,37834875.56,37834848.13,2891466.5,2891466,39,-316.0840818,psn
133.0333271,133.0332794,133.0333862,1292.12,1278.7,1308.39,34151975.04,34138355.73,2886159,772,40,-133.0333271,psn
148.0518198,148.051712,148.0520172,1291,1291,1307.83,22704459.65,22701582.69,2825621.75,2225,41,-148.0518198,psn
811.1600867,811.1582642,811.1611328,1297.7,1289.33,1306.69,18157188.37,18157171.57,2595228.75,2595228,42,-811.1600867,psn
358.1175343,358.1173401,358.1177979,1299.38,1291.56,1314.62,37115605.14,37015239.65,2563522.25,311,43,-358.1175343,psn
228.0489025,228.0487671,228.0493622,1295.47,1275.3,1368.88,43597672.38,43529113.84,2491124.5,604,44,-228.0489025,psn
244.0227534,244.0225983,244.0233612,1295.47,1248.7,1376.21,46700362.37,46626729.97,2471266.5,568,45,-244.0227534,psn
146.025297,146.0244751,146.0258026,1290.44,1275.3,1306.13,16408850.35,15584926.66,2384161.25,48,46,-146.025297,psn
416.1076706,416.1073914,416.1080933,1290.44,1279.82,1299.94,19181974.57,19181955.01,2370798,2370797,47,-416.1076706,psn
993.6550423,993.65271,993.6563721,1299.94,1294.35,1305,8965885.91,8965875.821,2345890,2345889,48,-993.6550423,psn
831.1369008,831.1356812,831.1380005,1298.82,1289.33,1308.96,15501037.57,15501020.74,2325019.5,2325018,49,-831.1369008,psn
760.0783563,760.0773315,760.0797729,1301.62,1291.56,1315.19,15339218.94,15338622.32,2294202.5,3788,50,-760.0783563,psn
353.0367394,353.0364685,353.0369263,1287.1,1272.47,1306.13,28244621.57,27199206.88,2244783.75,97,51,-353.0367394,psn
130.0392531,130.0391998,130.0392914,1290.44,1277,1307.83,29130833.66,29102776.23,2227557.5,443,52,-130.0392531,psn
874.17299,874.1713867,874.1742554,1300.5,1292.12,1314.06,12911935.12,12911510.87,2207934,4229,53,-874.17299,psn
146.1036689,146.1030731,146.1043091,1290.44,1277,1312.36,19863773.88,18937345.46,2033520.25,13,54,-146.1036689,psn
151.062112,151.0620575,151.062149,1290.44,1273.61,1307.83,31766133.47,31130290.99,1948270.375,114,55,-151.062112,psn
378.1516586,378.1513367,378.1525574,1290.44,1280.39,1299.94,14194345.34,14194326.35,1836020.25,1836019,56,-378.1516586,psn
994.1573381,994.1561279,994.1624756,1299.94,1293.79,1306.13,7672671.441,7672660.783,1833876.25,1833875,57,-994.1573381,psn
317.0390983,317.0388184,317.0393982,1292.12,1280.39,1308.96,16580366.8,16580339.91,1619828.125,1619827,58,-317.0390983,psn
