m.z,Intensity,Relative,Resolution
-540.0535,484353.3,100,182617.48
-158.9251,148066.2,30.57,318861.03
-272.957,103305.1,21.33,248166.92
-134.047,100870.7,20.83,352184.91
-328.0451,64619.5,13.34,231726.41
-96.9694,55217.6,11.4,423695.91
-408.0114,50283.8,10.38,208238.59
-426.0221,38634.3,7.98,193135.11
-346.0556,34311.3,7.08,215504.69
-541.0565,23465.4,4.84,182833.7
-174.9799,23227.7,4.8,319916.38
-107.0361,13708.1,2.83,401680.56
-662.1015,11598.8,2.39,167476.44
-211.0011,11439.1,2.36,284503.91
-192.9905,9799.3,2.02,297323.22
-92.0253,5470.9,1.13,445705.78
-176.9357,4786.7,0.99,304790.22
-146.9851,4139.7,0.85,347844.13
-254.9465,3298.6,0.68,268216.69
-290.9676,2612.1,0.54,238835.7
-138.98,2573.4,0.53,345407
-150.98,2298.8,0.47,333685.47
-329.0485,1802.2,0.37,223029.69
-135.0504,1426.3,0.29,349708.41
-273.9604,1391.7,0.29,247101
-409.0148,1271.7,0.26,199213.89
-214.0134,1253.5,0.26,282810
-427.0252,1009.9,0.21,186463.05
-136.9643,924.7,0.19,350344.91
-347.059,907.2,0.19,211697.08
-142.9302,867.2,0.18,335902.47
-442.0769,687.9,0.14,180799.75
-135.0441,463.5,0.1,353377.97
-111.0085,427.1,0.09,377704.38
-120.9694,418.3,0.09,356618.16
-243.9542,408.6,0.08,255579.06
-80.9745,407.6,0.08,422068.13
-157.9173,403.4,0.08,319020.66
-226.9515,402.2,0.08,263225.5
-162.98,355.8,0.07,322370.53
-404.9993,317.6,0.07,185064.34
-134.985,301.3,0.06,354505.88
-310.0347,299.3,0.06,215183.75
-175.9833,265.8,0.05,306739.47
-160.9408,261.5,0.05,322585.22
-175.9279,217.7,0.04,307993.34
-329.0422,214,0.04,215771.19
-522.0436,200.1,0.04,138603.69
-540.0448,177.6,0.04,716437.63
-164.9956,174.2,0.04,305708
-388.0664,173.9,0.04,182678.86
-244.962,155.8,0.03,232687.08
-242.9463,153.1,0.03,249115.02
-409.0086,143.1,0.03,190982.5
-224.9358,142,0.03,255507.59
-460.0873,138.9,0.03,161613.67
-291.9711,133.6,0.03,214826.83
-184.9408,132.8,0.03,294489
-158.9238,131.5,0.03,583926.19
-212.0045,128.9,0.03,265670.06
-538.0383,126,0.03,201936.3
-539.6415,125.6,0.03,139260.5
-200.9358,117.9,0.02,254333.02
-193.9939,113,0.02,302198.28
-480.0322,112.9,0.02,173731.44
-427.0189,111.9,0.02,175372.56
-108.0394,111.6,0.02,375756.19
-148.9643,110.8,0.02,316150.97
-540.5539,109.3,0.02,178439.14
-236.9358,108.1,0.02,236381.61
-90.0096,104.7,0.02,418222.44
-347.0528,101.7,0.02,203799.14
-80.0252,100.1,0.02,562157.19
-212.9358,96.1,0.02,264935.97
-539.046,93.6,0.02,202238.75
-540.4633,88.6,0.02,154213.3
-118.9901,78.8,0.02,355549.22
-540.1934,73.4,0.02,180480.48
-113.0242,69,0.01,383584.28
-540.2365,69,0.01,130512.04
-539.9155,67.9,0.01,89966.6
-542.0584,63.7,0.01,133708.13
-190.9749,62.4,0.01,302570.41
-132.9694,62.1,0.01,346438.31
-159.9294,62,0.01,341957.06
-272.9541,55.9,0.01,542999.88
-134.0459,54.4,0.01,649797.94
-106.0283,53.9,0.01,373334.47
-214.9515,53.8,0.01,252514.66
-307.0223,53.1,0.01,238726.17
-172.9408,51,0.01,297390.34
-413.0157,49.6,0.01,185975.66
-448.9958,49.2,0.01,162525.97
-158.9475,47.6,0.01,175437.02
-145.0617,46.7,0.01,326958.09
-539.8687,46.2,0.01,221051.84
-539.8705,44.9,0.01,147966.56
-540.0732,44.2,0.01,370798.63
-172.9642,44,0.01,308894.75
-134.0484,43.5,0.01,808331.75
-540.196,43.4,0.01,136552.48
-158.8595,43.3,0.01,207166.02
-158.9907,43.1,0.01,186010.48
-482.9562,43,0.01,174255.14
-539.9822,42,0.01,201948.52
-452.0373,41.3,0.01,167867.2
-400.0662,40.8,0.01,183783.47
-402.9836,40.5,0.01,187798.17
-539.9076,40.4,0.01,249314.45
-450.9926,40.4,0.01,171243
-540.1277,40.1,0.01,291184.5
-468.0331,39.2,0.01,181351.11
-539.0424,38.9,0.01,146035.72
-414.019,38.8,0.01,201865.64
-292.972,38.7,0.01,227895.52
-230.9464,38.4,0.01,251310.22
-463.0114,35.3,0.01,159889.19
-158.8959,35,0.01,260941.34
-546.0544,34.6,0.01,169575.11
-395.0048,33.9,0.01,178833.34
-158.9028,33.6,0.01,141314.13
-93.0286,33,0.01,397463.06
-104.9745,32.6,0.01,390749.09
-117.0204,32.5,0.01,340122.28
-190.9515,32.4,0.01,283464.5
-80.9631,31.9,0.01,597983.75
-546.053,31.1,0.01,182804.31
-96.9688,30.2,0.01,1161610.13
-539.9315,30.2,0.01,279704.28
-133.9961,29.6,0.01,247304.34
-465.0079,29.5,0.01,151559.67
-540.1842,29.2,0.01,286895.28
-477.0264,29.1,0.01,171257.69
-540.1907,28.8,0.01,150886.63
-272.8091,28.6,0.01,231613
-539.9762,28.6,0.01,249947.64
-540.1249,28.3,0.01,208292.95
-540.1875,27.3,0.01,237655.44
-540.1395,25.8,0.01,276779.81
-390.0008,25,0.01,194974.47
-426.0014,24.5,0.01,168975.81
-540.1992,24.4,0.01,235123.97
136.0614,7581210.5,100,310787.06
428.0363,1267732.6,16.72,202225.64
97.0282,911083.2,12.02,399120.13
524.0571,751631.2,9.91,185408.78
664.1164,726150,9.58,158162.06
232.0824,664814.3,8.77,274451.22
119.0353,553369.2,7.3,369262.19
542.0677,513045.9,6.77,183070.27
92.0242,351795.9,4.64,422580.13
137.0454,341616.1,4.51,277693.72
348.0704,309148.3,4.08,225920.02
123.0553,112587.5,1.49,358629.44
444.0909,79142.2,1.04,197397.77
98.984,68102.9,0.9,399293.56
250.093,62232.6,0.82,259646.2
148.0615,59577.6,0.79,306358.47
94.0399,59486.7,0.78,411857.59
109.0508,50751.2,0.67,383978.44
80.0494,47462.5,0.63,424633.56
82.0399,33820.5,0.45,434146.66
178.072,33563.5,0.44,299333.84
330.06,28232.6,0.37,224606.72
96.0443,25241.5,0.33,419484.09
136.0623,18839.1,0.25,763966.19
582.4023,18489.9,0.24,146951.28
214.0719,17549,0.23,274462.13
112.0504,16836.3,0.22,377092.84
410.0261,15946.9,0.21,207558.2
216.0278,14207.4,0.19,266870.34
121.0509,14004.1,0.18,374552.38
204.0877,10630,0.14,281140.13
447.3472,9611,0.13,178356.28
162.0771,9604.2,0.13,303317.91
186.0771,9183.3,0.12,277488.38
159.0663,8325.7,0.11,315079.91
136.0627,8159.8,0.11,341321.56
193.0493,7824.3,0.1,282771.13
